"노선번호","역명","board","X좌표","Y좌표","mean"
"8221 : 장안2동 주민센터-답십리역","NH농협장안평지점","s",127.0718026646,37.5753545105,576.05
"8221 : 장안2동 주민센터-답십리역","NH농협장안평지점","h",127.0718026646,37.5753545105,15.9
"8221 : 장안2동 주민센터-답십리역","고미술상가","s",127.0574527443,37.5634751321,9.35
"8221 : 장안2동 주민센터-답십리역","고미술상가","h",127.0574527443,37.5634751321,508.05
"8221 : 장안2동 주민센터-답십리역","답십리역.동부시장","s",127.0523791506,37.5671346794,3.65
"8221 : 장안2동 주민센터-답십리역","답십리역.동부시장","h",127.0523791506,37.5671346794,2146
"8221 : 장안2동 주민센터-답십리역","답십리촬영소.우성그린아파트","s",127.0669557023,37.5743481388,746.4
"8221 : 장안2동 주민센터-답십리역","답십리촬영소.우성그린아파트","h",127.0669557023,37.5743481388,15.05
"8221 : 장안2동 주민센터-답십리역","동경호텔현대벤처빌","s",127.0694143748,37.5689152374,1058.83333333333
"8221 : 장안2동 주민센터-답십리역","동경호텔현대벤처빌","h",127.0694143748,37.5689152374,73.6666666666667
"8221 : 장안2동 주민센터-답십리역","동답초교.대림아파트","s",127.0651983369,37.5710897324,385.05
"8221 : 장안2동 주민센터-답십리역","동답초교.대림아파트","h",127.0651983369,37.5710897324,22.7
"8221 : 장안2동 주민센터-답십리역","동답한신동아아파트","s",127.0642827556,37.5697154664,727.95
"8221 : 장안2동 주민센터-답십리역","동답한신동아아파트","h",127.0642827556,37.5697154664,20.05
"8221 : 장안2동 주민센터-답십리역","동아.위더스빌아파트","s",127.0615576835,37.5661148101,322.25
"8221 : 장안2동 주민센터-답십리역","동아.위더스빌아파트","h",127.0615576835,37.5661148101,51.9
"8221 : 장안2동 주민센터-답십리역","우리은행장안지점앞","s",127.0676378587,37.5661485095,147.95
"8221 : 장안2동 주민센터-답십리역","우리은행장안지점앞","h",127.0676378587,37.5661485095,660.85
"8221 : 장안2동 주민센터-답십리역","장안2동주민센터","s",127.0703644671,37.5786846764,587.9
"8221 : 장안2동 주민센터-답십리역","장안2동주민센터","h",127.0703644671,37.5786846764,2.1
"8221 : 장안2동 주민센터-답십리역","장안동근린공원","s",127.0719479712,37.577324101,406.8
"8221 : 장안2동 주민센터-답십리역","장안동근린공원","h",127.0719479712,37.577324101,9.85
"8221 : 장안2동 주민센터-답십리역","장안동삼성쉐르빌아파트","s",127.0711287273,37.5715502515,727.6
"8221 : 장안2동 주민센터-답십리역","장안동삼성쉐르빌아파트","h",127.0711287273,37.5715502515,41.7
"8221 : 장안2동 주민센터-답십리역","장한평역","s",127.0652967136,37.5626093506,8.5
"8221 : 장안2동 주민센터-답십리역","장한평역","h",127.0652967136,37.5626093506,3009.35
"8221 : 장안2동 주민센터-답십리역","전곡시장앞","s",127.0678605824,37.5772246127,641.15
"8221 : 장안2동 주민센터-답십리역","전곡시장앞","h",127.0678605824,37.5772246127,2.85
"8221 : 장안2동 주민센터-답십리역","코리아병원","s",127.0716207831,37.573209246,320.6
"8221 : 장안2동 주민센터-답십리역","코리아병원","h",127.0716207831,37.573209246,23.7
"8221 : 장안2동 주민센터-답십리역","현대벤처빌","s",127.0694143748,37.5689152374,1038
